gsi_lat,gsi_lon,gsi_name,gsi_kana,lfSpanFr,gaijiFlg,name1,name2,id,name,kana,alt,lat,lon,level,auth,distance
35.613005,134.911228,兜山,かぶとやま,2012-10-12,0,兜山,兜山,10867,兜山,かぶとやま,192,35.612932,134.911242,36,2,8.22
34.316538,134.904197,掛牛山,かけおうじやま,2012-10-12,0,掛牛山,掛牛山,9854,掛牛山,かけおうじやま,250,34.316667,134.904167,0,2,14.61
35.407393,134.902872,西床尾山,にしとこのおさん,2012-10-12,0,西床尾山,西床尾山,10838,西床尾山,にしとこのおざん,843,35.407405,134.902910,18,2,3.72
34.337974,134.902972,三熊山,みくまやま,2012-10-12,0,三熊山,三熊山,9861,三熊山,みくまやま,125,34.337708,134.903293,18,2,41.73
43.822308,144.943694,薫別岳,くんべつだけ,2012-07-30,0,薫別岳,薫別岳,4448,薫別岳,くんべつだけ,699,43.822301,144.943660,36,2,2.85
34.185416,135.279917,大旗山,おおはたやま,2012-10-12,0,大旗山,大旗山,9985,大旗山,おおはたやま,245,34.185425,135.279912,27,2,1.09
34.957749,135.282264,大船山,おおふなやま,2012-10-12,0,大船山,大船山,10586,大船山,おおふなやま,653,34.957769,135.282181,36,2,7.90
34.17861,135.285111,野尻山,のじりやま,2012-10-12,0,野尻山,野尻山,9984,野尻山,のじりやま,223,34.178554,135.285164,18,2,7.85
33.944391,135.281697,後山,うしろやま,2012-10-12,0,後山,後山,9826,後山,うしろやま,475,33.944404,135.281746,36,2,4.71
34.145593,135.282639,宝年寺山,ほうねんじやま,2012-10-12,0,宝年寺山,宝年寺山,9934,宝年寺山,ほうねんじやま,312,34.145609,135.282634,27,2,1.81
33.888038,135.2757,真妻山,まづまやま,2012-10-12,0,真妻山,真妻山,9772,真妻山,まづまやま,523,33.888047,135.275699,54,2,1.05
34.740163,135.277044,金鳥山,きんちょうやま,2012-10-12,0,金鳥山,金鳥山,10404,金鳥山,きんちょうさん,338,34.739979,135.276703,18,2,37.34
34.317952,135.282597,四石山,よついしやま,2012-10-12,0,四石山,四石山,10062,四石山,よついしやま,384,34.317929,135.282599,45,2,2.53
