lat,lon,name,kana,lfSpanFr,gaijiFlg,name1
27.051166,142.193561,高山,たかやま,2012-10-12,0,高山
43.855634,146.760271,又古丹山,またこたんやま,2014-02-14,0,又古丹山
34.092146,135.206206,千葉山,せんばやま,2012-10-12,0,千葉山
33.890177,135.199739,千疋山,せんびきやま,2012-10-12,0,千疋山
35.077741,135.205317,権現山,ごんげんさん,2012-10-12,0,権現山
34.302288,135.208053,大福山,だいふくやま,2012-10-12,0,大福山
34.173441,135.204481,大山,おおやま,2012-10-12,0,大山
35.097649,135.203217,盃ヶ岳,さかづきがたけ,2012-10-12,0,盃ヶ岳
34.165591,135.199456,船尾山,ふのおやま,2012-10-12,0,船尾山
35.284105,135.204575,高嶽,たかだけ,2012-10-12,0,高嶽
33.905177,135.204239,大山,おおやま,2012-10-12,0,大山
33.881677,135.204322,講山,こうやま,2012-10-12,0,講山
34.732941,135.204333,摩耶山,まやさん,2012-10-12,0,摩耶山
34.739718,135.204833,摩耶別山,まやべっさん,2012-10-12,0,摩耶別山
35.695252,135.204258,太鼓山,たいこやま,2012-10-12,0,太鼓山
34.308402,135.207894,俎石山,そせきざん,2012-10-12,0,俎石山
34.161091,135.206261,城山,じょうやま,2012-10-12,0,城山
34.107468,135.197864,岳山,たけやま,2012-10-12,0,岳山
35.723341,135.199333,笠山,かさやま,2012-10-12,0,笠山
34.967663,135.201994,大谷山,おおたにやま,2012-10-12,0,大谷山
33.842205,135.199156,湯上山,ゆあげさん,2012-10-12,0,湯上山
33.837955,135.208572,高城山,たかしろやま,2012-10-12,0,高城山
33.979261,135.19856,鳥松山,とりまつやま,2012-10-12,0,鳥松山
33.913816,135.207683,三国山,さんごくやま,2012-10-12,0,三国山
34.745552,135.201694,新穂高,しんほだか,2012-10-12,0,新穂高
33.922388,135.199903,オクボ山,おくぼやま,2012-10-12,0,オクボ山
33.867482,135.202461,琴平山,こんぴらさん,2012-10-12,0,琴平山
43.876842,144.876539,海別岳,うなべつだけ,2012-07-30,0,海別岳
35.092171,134.914656,妙見山,みょうけんさん,2012-10-12,0,妙見山
35.21208,134.918656,三国岳,みくにだけ,2012-10-12,0,三国岳
35.272877,134.915569,粟鹿山,あわがやま,2012-10-12,0,粟鹿山
35.421913,134.915869,東床尾山,ひがしとこのおさん,2012-10-12,0,東床尾山
35.346338,134.918719,宝山,たからやま,2013-07-26,0,宝山
34.998268,132.634175,冠山,かんむりやま,2012-10-12,0,冠山
34.709168,132.633639,小津古山,こつこやま,2012-10-12,0,小津古山
34.311285,132.636356,岩山,いわやま,2012-10-12,0,岩山
33.188355,132.635375,三本杭,さんぼんぐい,2012-10-12,0,三本杭
33.517399,132.632869,神南山,かんなんざん,2012-10-12,0,神南山
33.965071,132.637089,高山,たかやま,2012-10-12,0,高山
34.507107,132.633597,安駄山,あんだやま,2012-10-12,0,安駄山
35.421091,132.630375,高見平山,たかみひらやま,2012-10-12,0,高見平山
35.132957,132.627386,三瓶山,さんべさん,2012-10-12,0,三瓶山
35.131913,132.632639,太平山,たいへいざん,2012-10-12,0,太平山
35.134941,132.632778,女三瓶山,めさんべさん,2012-10-12,0,女三瓶山
33.437463,132.633372,御在所山,ございしょやま,2012-10-12,0,御在所山
33.063568,132.637547,瀬戸黒森,せとくろもり,2012-10-12,0,瀬戸黒森
33.208768,132.634614,高月山,たかつきやま,2012-10-12,0,高月山
